key,english_source,current_telugu_translation,status,reviewer_notes
applications.legacy.section_past,Past,గత,translated,
applications.legacy.status_sent,Sent,పంపబడింది,translated,
applications.legacy.error_eyebrow,OFFLINE,ఆఫ్‌లైన్,translated,
applications.legacy.error_title,Couldn't load your applications,మీ దరఖాస్తులను లోడ్ చేయలేకపోయాము,translated,
applications.legacy.error_message,Check your connection and pull down to retry.,మీ కనెక్షన్‌ను తనిఖీ చేసి మళ్లీ ప్రయత్నించడానికి కిందికి లాగండి.,translated,
applications.legacy.empty_eyebrow,NOTHING IN FLIGHT,ఏదీ ప్రవాహంలో లేదు,translated,
applications.legacy.empty_title,No applications yet,ఇంకా దరఖాస్తులు లేవు,translated,
applications.legacy.empty_message,Apply to a nearby job and you'll see its status here in real time.,సమీప ఉద్యోగానికి దరఖాస్తు చేసి దాని స్థితిని ఇక్కడ నిజ సమయంలో చూడండి.,translated,
applications.legacy.interview_pill,Interview · {{when}}{{where}},ఇంటర్వ్యూ · {{when}}{{where}},translated,
applications.legacy.interview_at, at {{location}}, {{location}}లో,translated,
applications.legacy.interview_video_link, (video — link in chat), (వీడియో — లింక్ చాట్‌లో),translated,
applications.legacy.interview_video, (video), (వీడియో),translated,
applications.legacy.interview_phone, (phone), (ఫోన్),translated,
applications.open_my_job,Open in My Job →,,MISSING — needs translation,
saved_jobs.eyebrow,SAVED,సేవ్ చేయబడింది,translated,
saved_jobs.title,Your shortlist.,మీ షార్ట్‌లిస్ట్.,translated,
saved_jobs.error.eyebrow,OFFLINE,ఆఫ్‌లైన్,translated,
saved_jobs.error.title,Couldn't load your saved jobs,మీ సేవ్ చేసిన ఉద్యోగాలను లోడ్ చేయలేకపోయాము,translated,
saved_jobs.error.message,"Pull down to retry, or check your connection.",మళ్లీ ప్రయత్నించడానికి కిందికి లాగండి లేదా మీ కనెక్షన్‌ను తనిఖీ చేయండి.,translated,
saved_jobs.empty.eyebrow,NOTHING SAVED,ఏదీ సేవ్ చేయబడలేదు,translated,
saved_jobs.empty.title,Your shortlist is empty,మీ షార్ట్‌లిస్ట్ ఖాళీగా ఉంది,translated,
saved_jobs.empty.message,Tap the bookmark on any job card and it'll appear here for later.,"ఏదైనా ఉద్యోగ కార్డ్‌లో బుక్‌మార్క్ ట్యాప్ చేయండి, తర్వాత ఇది ఇక్కడ కనిపిస్తుంది.",translated,
my_jobs.title,My Jobs,నా ఉద్యోగాలు,translated,
my_jobs.tabs.saved,Saved,సేవ్ చేసిన,translated,
my_jobs.tabs.applied,Applied,దరఖాస్తు చేసిన,translated,
my_jobs.empty.saved_eyebrow,NOTHING SAVED,ఏదీ సేవ్ చేయబడలేదు,translated,
my_jobs.empty.saved_title,No saved jobs yet,ఇంకా సేవ్ చేసిన ఉద్యోగాలు లేవు,translated,
my_jobs.empty.saved_message,Tap the heart on any job to save it for later.,తర్వాత సేవ్ చేయడానికి ఏదైనా ఉద్యోగంపై హృదయాన్ని ట్యాప్ చేయండి.,translated,
my_jobs.empty.applied_eyebrow,NO APPLICATIONS,దరఖాస్తులు లేవు,translated,
my_jobs.empty.applied_title,No applied jobs yet,ఇంకా దరఖాస్తు చేసిన ఉద్యోగాలు లేవు,translated,
my_jobs.empty.applied_message,Browse nearby jobs and tap Apply Now.,సమీప ఉద్యోగాలను బ్రౌజ్ చేసి Apply Now ట్యాప్ చేయండి.,translated,
my_jobs.empty.cta,Browse jobs,ఉద్యోగాలను బ్రౌజ్ చేయండి,translated,
ratings.back,← Back,← వెనుకకు,translated,
ratings.my_ratings,My ratings,నా రేటింగ్‌లు,translated,
ratings.others_ratings,Ratings,రేటింగ్‌లు,translated,
ratings.error_title,Couldn't load ratings,రేటింగ్‌లను లోడ్ చేయలేకపోయాము,translated,
ratings.empty_title,No ratings yet,ఇంకా రేటింగ్‌లు లేవు,translated,
ratings.empty_my_message,"Once an employer rates you after a hire, you'll see it here.",ఒక యజమాని నియామకం తర్వాత మిమ్మల్ని రేటింగ్ ఇస్తే ఇక్కడ చూస్తారు.,translated,
ratings.empty_other_message,This person hasn't been rated yet.,ఈ వ్యక్తికి ఇంకా రేటింగ్ ఇవ్వలేదు.,translated,
chat_list.title,Conversations,సంభాషణలు,translated,
chat_list.tabs.all,All,అన్నీ,translated,
chat_list.tabs.employers,Employers,యజమానులు,translated,
chat_list.tabs.support,Support,మద్దతు,translated,
chat_list.error_title,Couldn't load chats.,చాట్‌లను లోడ్ చేయలేకపోయాము.,translated,
chat_list.error_hint,Pull down to retry.,మళ్లీ ప్రయత్నించడానికి కిందికి లాగండి.,translated,
chat_list.new_chat_btn,+ New Chat,+ కొత్త చాట్,translated,
chat_list.fallback_name,Conversation,సంభాషణ,translated,
chat_list.preview_empty,Say hello.,హాయ్ చెప్పండి.,translated,
chat_list.empty_support_eyebrow,SUPPORT,మద్దతు,translated,
chat_list.empty_support_title,No support chats yet,ఇంకా మద్దతు చాట్‌లు లేవు,translated,
chat_list.empty_support_message,Doondo Support threads will show up here. Reach out to support anytime if you need help.,Doondo మద్దతు థ్రెడ్‌లు ఇక్కడ కనిపిస్తాయి. సహాయం కావాలంటే ఎప్పుడైనా సంప్రదించండి.,translated,
chat_list.empty_employers_eyebrow,NO EMPLOYER CHATS,యజమాని చాట్‌లు లేవు,translated,
chat_list.empty_employers_title,No employer chats yet,ఇంకా యజమాని చాట్‌లు లేవు,translated,
chat_list.empty_employers_message_employer,Employer-to-employer messaging will land here when networking ships.,యజమాని-యజమాని మెసేజింగ్ నెట్‌వర్కింగ్‌తో ఇక్కడ వస్తుంది.,translated,
chat_list.empty_employers_message_seeker,"Once an employer shortlists you for a job, the chat opens here.",యజమాని మిమ్మల్ని షార్ట్‌లిస్ట్ చేసిన తర్వాత చాట్ ఇక్కడ తెరుచుకుంటుంది.,translated,
chat_list.empty_all_eyebrow,INBOX EMPTY,ఇన్‌బాక్స్ ఖాళీ,translated,
chat_list.empty_all_title,No chats yet,ఇంకా చాట్‌లు లేవు,translated,
chat_list.empty_all_message_employer,Shortlist a candidate from the Applicants tab — a private chat opens automatically.,Applicants ట్యాబ్ నుండి అభ్యర్థిని షార్ట్‌లిస్ట్ చేయండి — ప్రైవేట్ చాట్ స్వయంచాలకంగా తెరుచుకుంటుంది.,translated,
chat_list.empty_all_message_seeker,"When an employer shortlists you for a job, you can chat with them right here. Apply to nearby jobs to get started.",యజమాని మిమ్మల్ని షార్ట్‌లిస్ట్ చేస్తే ఇక్కడే వారితో చాట్ చేయవచ్చు. ప్రారంభించడానికి సమీప ఉద్యోగాలకు దరఖాస్తు చేయండి.,translated,
chat_list.time_yesterday,Yesterday,నిన్న,translated,
chat_list.time_days_ago,{{n}} days ago,{{n}} రోజుల క్రితం,translated,
new_chat.title,New Chat,కొత్త చాట్,translated,
new_chat.hint,Pick a job you've applied to — start the conversation with the employer.,మీరు దరఖాస్తు చేసిన ఉద్యోగాన్ని ఎంచుకోండి — యజమానితో సంభాషణను ప్రారంభించండి.,translated,
new_chat.error_title,Couldn't load applications,దరఖాస్తులను లోడ్ చేయలేకపోయాము,translated,
new_chat.error_message,Check your connection and try again.,మీ కనెక్షన్‌ను తనిఖీ చేసి మళ్లీ ప్రయత్నించండి.,translated,
new_chat.retry_cta,Retry,మళ్లీ,translated,
new_chat.empty_title,No applications yet,ఇంకా దరఖాస్తులు లేవు,translated,
new_chat.empty_message,"Apply to a job first, then come back to start a chat with the employer.","ముందుగా ఉద్యోగానికి దరఖాస్తు చేయండి, తర్వాత యజమానితో చాట్‌ను ప్రారంభించడానికి తిరిగి రండి.",translated,
new_chat.empty_cta,Browse jobs,ఉద్యోగాలను బ్రౌజ్ చేయండి,translated,
new_chat.fallback_employer,Employer,యజమాని,translated,
new_chat.fallback_job_application,Job application,ఉద్యోగ దరఖాస్తు,translated,
download_center.title,Download Center,డౌన్‌లోడ్ కేంద్రం,translated,
download_center.hint,Jobs you've saved for offline viewing. Tap one to open it even without a signal.,ఆఫ్‌లైన్ వీక్షణ కోసం మీరు సేవ్ చేసిన ఉద్యోగాలు. సిగ్నల్ లేకుండా కూడా తెరవడానికి ఒకదాన్ని ట్యాప్ చేయండి.,translated,
download_center.empty_eyebrow,NOTHING DOWNLOADED,ఏదీ డౌన్‌లోడ్ చేయబడలేదు,translated,
download_center.empty_title,No offline jobs yet,ఇంకా ఆఫ్‌లైన్ ఉద్యోగాలు లేవు,translated,
download_center.empty_message,Open any job and tap the download icon to save it for offline.,ఏదైనా ఉద్యోగాన్ని తెరిచి ఆఫ్‌లైన్‌లో సేవ్ చేయడానికి డౌన్‌లోడ్ ఐకాన్‌ను ట్యాప్ చేయండి.,translated,
download_center.empty_cta,Browse jobs,ఉద్యోగాలను బ్రౌజ్ చేయండి,translated,
download_center.remove_confirm_title,Remove from downloads?,డౌన్‌లోడ్‌ల నుండి తీసివేయాలా?,translated,
download_center.remove_confirm_body,"""{{title}}"" will no longer be available offline.","""{{title}}"" ఇకపై ఆఫ్‌లైన్‌లో అందుబాటులో ఉండదు.",translated,
download_center.remove_confirm_cancel,Cancel,రద్దు,translated,
download_center.remove_confirm_remove,Remove,తీసివేయి,translated,
download_center.saved_relative_label,Saved {{when}},{{when}} సేవ్ చేయబడింది,translated,
download_center.time_just_now,just now,ఇప్పుడే,translated,
download_center.time_min_ago,{{n}} min ago,{{n}} నిమి క్రితం,translated,
download_center.time_hr_ago,{{n}} hr ago,{{n}} గం క్రితం,translated,
download_center.fallback_employer,Doondo Employer,Doondo యజమాని,translated,
insurance.title,Worker insurance,కార్మిక బీమా,translated,
insurance.subtitle,Optional accident cover for the days you work.,మీరు పనిచేసే రోజులకు ఐచ్ఛిక ప్రమాద కవరేజ్.,translated,
insurance.standard_cover_label,STANDARD COVER,ప్రామాణిక కవర్,translated,
insurance.price_per_month,₹{{n}} / month,₹{{n}} / నెల,translated,
insurance.bullet_death_disability,{{amount}} accidental death / disability,{{amount}} ప్రమాద మరణం / అంగవైకల్యం,translated,
insurance.bullet_hospital_cash,{{amount}} / day hospital cash · up to {{days}} days / year,{{amount}} / రోజు ఆసుపత్రి నగదు · సంవత్సరానికి {{days}} రోజుల వరకు,translated,
insurance.bullet_active_during_hires,Active during all hires made through Doondo,Doondo ద్వారా చేసిన అన్ని నియామకాల సమయంలో క్రియాశీలం,translated,
insurance.status_pending,Pending — ops review,పెండింగ్ — ops సమీక్ష,translated,
insurance.status_active,Active · cover live,క్రియాశీలం · కవర్ లైవ్,translated,
insurance.status_paused,Paused,నిలిపివేయబడింది,translated,
insurance.status_cancelled,Cancelled,రద్దు చేయబడింది,translated,
insurance.opt_in_btn,Opt in for ₹49 / month,₹49 / నెలకు చేరండి,translated,
insurance.opt_in_subscribing,Subscribing…,సబ్‌స్క్రైబ్ అవుతోంది…,translated,
insurance.opt_in_success_title,You're covered,మీరు కవర్ అయ్యారు,translated,
insurance.opt_in_success_body,Doondo's ops team will confirm your subscription within a working day.,Doondo ops బృందం ఒక పని రోజు లోపు మీ సబ్‌స్క్రిప్షన్‌ను నిర్ధారిస్తుంది.,translated,
insurance.opt_in_error_title,Could not opt in,చేరలేకపోయాము,translated,
insurance.opt_in_error_default,Try again later.,తర్వాత ప్రయత్నించండి.,translated,
insurance.cancel_btn,Cancel cover,కవర్ రద్దు చేయండి,translated,
insurance.cancel_confirm_title,Cancel cover?,కవర్ రద్దు చేయాలా?,translated,
insurance.cancel_confirm_body,You'll stop being covered after this billing month.,ఈ బిల్లింగ్ నెల తర్వాత మీరు కవర్ కాకుండా ఆగిపోతారు.,translated,
insurance.cancel_confirm_keep,Keep cover,కవర్ ఉంచు,translated,
insurance.cancel_confirm_cancel,Cancel cover,కవర్ రద్దు చేయి,translated,
insurance.footer_disclaimer,"Preview only — Doondo is finalising the underwriter. Until then, ops will manually confirm your subscription. You'll never be billed without the policy being live.",ప్రివ్యూ మాత్రమే — Doondo అండర్‌రైటర్‌ని ఖరారు చేస్తోంది. అప్పటి వరకు ops మీ సబ్‌స్క్రిప్షన్‌ను మాన్యువల్‌గా నిర్ధారిస్తుంది. పాలసీ లైవ్ లేకుండా మీకు ఎప్పుడూ బిల్లు రాదు.,translated,
interview_prep.title,Interview prep,ఇంటర్వ్యూ తయారీ,translated,
interview_prep.subtitle,"Punchy tips for your trade — what to expect, what to bring, how to talk pay.","మీ వ్యాపారానికి పంచ్ చిట్కాలు — ఏమి ఆశించాలి, ఏమి తీసుకెళ్లాలి, వేతనం గురించి ఎలా మాట్లాడాలి.",translated,
interview_prep.section_questions,Questions you'll probably hear,మీరు బహుశా వినే ప్రశ్నలు,translated,
interview_prep.section_bring,What to bring,ఏమి తీసుకెళ్లాలి,translated,
interview_prep.section_negotiation,Talking about pay,వేతనం గురించి మాట్లాడటం,translated,
interview_prep.footer_tip,"Tip: write the agreed pay in the Doondo chat with the employer before you start. If anything changes later, the chat is your record.","చిట్కా: ప్రారంభించే ముందు అంగీకరించిన వేతనాన్ని Doondo చాట్‌లో యజమానితో రాయండి. తర్వాత ఏదైనా మారితే, చాట్ మీ రికార్డు.",translated,
advance.title,Cash advance,నగదు అడ్వాన్స్,translated,
advance.subtitle,"Get a small advance against confirmed upcoming work. Capped at ₹5,000.","ధృవీకరించబడిన రాబోయే పనికి చిన్న అడ్వాన్స్ పొందండి. ₹5,000 వరకు.",translated,
advance.form_how_much,How much do you need?,మీకు ఎంత అవసరం?,translated,
advance.form_why_label,"Why do you need it? (Optional, helps us review faster)","ఎందుకు కావాలి? (ఐచ్ఛికం, వేగవంతమైన సమీక్షకు సహాయపడుతుంది)",translated,
advance.form_why_placeholder,"e.g. School fees, hospital bill, family emergency","ఉదా. పాఠశాల ఫీజు, ఆసుపత్రి బిల్లు, కుటుంబ అత్యవసర పరిస్థితి",translated,
advance.form_request_btn,Request {{amount}},{{amount}} అభ్యర్థించండి,translated,
advance.form_submitting,Submitting…,సమర్పిస్తోంది…,translated,
advance.form_disclaimer,"Doondo reviews each request manually. We'll text you within a working day. There's no interest charge in this preview, but a small processing fee may apply once we partner with a lender — we'll always show it before you confirm.","Doondo ప్రతి అభ్యర్థనను మాన్యువల్‌గా సమీక్షిస్తుంది. ఒక పని రోజు లోపు మేము మీకు మెసేజ్ చేస్తాము. ఈ ప్రివ్యూలో వడ్డీ ఛార్జీ లేదు, కానీ మేము రుణదాతతో భాగస్వామ్యం అయిన తర్వాత చిన్న ప్రాసెసింగ్ ఫీజు వర్తించవచ్చు — మీరు నిర్ధారించడానికి ముందు మేము ఎల్లప్పుడూ చూపిస్తాము.",translated,
advance.request_received_title,Request received,అభ్యర్థన అందుకోబడింది,translated,
advance.request_received_body,We'll review your request and update you within a working day.,మేము మీ అభ్యర్థనను సమీక్షించి ఒక పని రోజు లోపు అప్‌డేట్ చేస్తాము.,translated,
advance.could_not_submit_title,Could not submit,సమర్పించలేకపోయాము,translated,
advance.could_not_submit_default,Try again later.,తర్వాత ప్రయత్నించండి.,translated,
advance.requests_eyebrow,YOUR REQUESTS,మీ అభ్యర్థనలు,translated,
advance.history_empty_eyebrow,NO REQUESTS YET,ఇంకా అభ్యర్థనలు లేవు,translated,
advance.history_empty_title,You haven't asked for an advance,మీరు అడ్వాన్స్ అడగలేదు,translated,
advance.history_empty_message,Submit a request above. We typically respond within a working day.,పైన అభ్యర్థనను సమర్పించండి. మేము సాధారణంగా ఒక పని రోజు లోపు ప్రతిస్పందిస్తాము.,translated,
advance.history_update_from_doondo,Update from Doondo: {{note}},Doondo నుండి అప్‌డేట్: {{note}},translated,
advance.history_cancel_request,Cancel request,అభ్యర్థనను రద్దు చేయి,translated,
advance.status_requested,Pending review,సమీక్ష పెండింగ్,translated,
advance.status_approved,Approved · awaiting payout,ఆమోదించబడింది · చెల్లింపు పెండింగ్,translated,
advance.status_paid,Paid,చెల్లించబడింది,translated,
advance.status_repaid,Repaid,తిరిగి చెల్లించబడింది,translated,
advance.status_declined,Declined,తిరస్కరించబడింది,translated,
advance.status_cancelled,Cancelled,రద్దు చేయబడింది,translated,
conversation.fallback_name,Conversation,సంభాషణ,translated,
conversation.verified_pill,Verified,ధృవీకరించబడింది,translated,
conversation.re_prefix,re: {{title}},విషయం: {{title}},translated,
conversation.empty_say_hello,Say hello.,హలో చెప్పండి.,translated,
conversation.empty_hint_employer,"Ask about availability, location, or set up a quick call.","అందుబాటు, స్థలం గురించి అడగండి లేదా చిన్న కాల్ ఏర్పాటు చేయండి.",translated,
conversation.empty_hint_seeker,"A short, friendly intro goes a long way.","ఒక చిన్న, స్నేహపూర్వక పరిచయం చాలా సహాయపడుతుంది.",translated,
conversation.composer_placeholder,Message…,సందేశం…,translated,
conversation.a11y_hold_to_record,Hold to record voice note,వాయిస్ నోట్ రికార్డ్ చేయడానికి నొక్కి పట్టుకోండి,translated,
conversation.a11y_start_recording,Start recording voice note,వాయిస్ నోట్ రికార్డింగ్ ప్రారంభించండి,translated,
conversation.a11y_stop_recording,Stop and send voice note,ఆపి వాయిస్ నోట్ పంపండి,translated,
conversation.attach_alert_title,Send attachment,అటాచ్‌మెంట్ పంపండి,translated,
conversation.attach_alert_body,Choose what to send.,ఏమి పంపాలో ఎంచుకోండి.,translated,
conversation.attach_camera,📷 Camera,📷 కెమెరా,translated,
conversation.attach_gallery,🖼  From gallery,🖼  గ్యాలరీ నుండి,translated,
conversation.attach_video,🎬 Video clip,🎬 వీడియో క్లిప్,translated,
conversation.attach_cancel,Cancel,రద్దు,translated,
conversation.photo_error_title,Couldn't send photo,ఫోటో పంపలేకపోయాము,translated,
conversation.photo_error_default,Could not prepare that photo — try a different image.,ఆ ఫోటోను సిద్ధం చేయలేకపోయాము — వేరే చిత్రాన్ని ప్రయత్నించండి.,translated,
conversation.video_error_title,Couldn't send video,వీడియో పంపలేకపోయాము,translated,
conversation.video_error_default,Could not prepare that video. Try a shorter clip.,ఆ వీడియోను సిద్ధం చేయలేకపోయాము. చిన్న క్లిప్ ప్రయత్నించండి.,translated,
conversation.voice_record_error_title,Couldn't record,రికార్డ్ చేయలేకపోయాము,translated,
conversation.voice_record_error_default,Could not start recording. Check microphone permission.,రికార్డింగ్ ప్రారంభించలేకపోయాము. మైక్రోఫోన్ అనుమతిని తనిఖీ చేయండి.,translated,
conversation.voice_send_error_title,Couldn't send voice,వాయిస్ పంపలేకపోయాము,translated,
conversation.voice_send_error_default,Voice note failed to save.,వాయిస్ నోట్ సేవ్ కాలేదు.,translated,
conversation.recording_status,Recording  {{elapsed}} / {{max}},రికార్డింగ్  {{elapsed}} / {{max}},translated,
conversation.recording_cancel,Cancel,రద్దు,translated,
conversation.recording_send,Send,పంపు,translated,
conversation.preview_play_a11y,Play recorded voice note,రికార్డ్ చేసిన వాయిస్ నోట్ ప్లే చేయండి,translated,
conversation.preview_discard,Discard,తొలగించు,translated,
conversation.preview_send,Send voice note,వాయిస్ నోట్ పంపు,translated,
conversation.receipt_read,Read,చదవబడింది,translated,
conversation.receipt_sent,Sent,పంపబడింది,translated,
conversation.send_failed,Failed — pull down to retry,విఫలమైంది — మళ్ళీ ప్రయత్నించడానికి కిందకు లాగండి,translated,
conversation.photo_a11y_with_caption,Photo: {{caption}},ఫోటో: {{caption}},translated,
conversation.photo_a11y,Photo,ఫోటో,translated,
conversation.translated_label,Translated,అనువదించబడింది,translated,
conversation.translating,Translating…,అనువదిస్తోంది…,translated,
conversation.translate_retry,Couldn't translate — tap to retry,అనువదించలేకపోయాం — మళ్లీ ప్రయత్నించడానికి నొక్కండి,translated,
conversation.show_original,Show original,అసలును చూపించు,translated,
conversation.hide_original,Hide original,అసలును దాచు,translated,
conversation.auto_translated,Auto-translated,స్వయంచాలక అనువాదం,translated,
conversation.translate_toggle_a11y,Toggle translation display,అనువాద ప్రదర్శనను టోగుల్ చేయండి,translated,
conversation.lang_sheet_title,Translation,,MISSING — needs translation,
conversation.lang_sheet_only_translation,Show translation only (hide original),,MISSING — needs translation,
conversation.lang_sheet_on,On,,MISSING — needs translation,
conversation.lang_sheet_off,Off,,MISSING — needs translation,
conversation.lang_sheet_hint,Read this chat in a different language. You can change it any time.,,MISSING — needs translation,
conversation.lang_default,App language (default),,MISSING — needs translation,
find_friends.title,Find friends,మిత్రులను కనుగొనండి,translated,
find_friends.subtitle,Match your phone contacts against Doondo. Numbers never leave your device in plaintext.,మీ ఫోన్ కాంటాక్ట్‌లను డూండోతో సరిపోల్చండి. నంబర్లు మీ పరికరం నుండి స్పష్ట టెక్స్ట్‌లో బయటకు వెళ్ళవు.,translated,
find_friends.scanning,Scanning your contacts privately…,మీ కాంటాక్ట్‌లను ప్రైవేట్‌గా స్కాన్ చేస్తున్నాము…,translated,
find_friends.permission_eyebrow,PERMISSION,అనుమతి,translated,
find_friends.permission_title,Contacts access not granted,కాంటాక్ట్ యాక్సెస్ ఇవ్వలేదు,translated,
find_friends.permission_message,"To find friends already on Doondo, allow contacts access in your phone settings, then come back to this screen.","డూండోలో ఇప్పటికే ఉన్న స్నేహితులను కనుగొనడానికి ఫోన్ సెట్టింగ్‌లలో కాంటాక్ట్ యాక్సెస్ ఇవ్వండి, తరువాత ఈ స్క్రీన్‌కు తిరిగి రండి.",translated,
find_friends.open_settings,Open settings,సెట్టింగ్‌లను తెరువు,translated,
find_friends.unsupported_eyebrow,UNAVAILABLE,అందుబాటులో లేదు,translated,
find_friends.unsupported_title,Couldn't load contacts,కాంటాక్ట్‌లను లోడ్ చేయలేకపోయాము,translated,
find_friends.unsupported_default,Could not load contacts.,కాంటాక్ట్‌లను లోడ్ చేయలేకపోయాము.,translated,
find_friends.unsupported_module,Contacts access needs the expo-contacts package.,కాంటాక్ట్ యాక్సెస్‌కు expo-contacts ప్యాకేజ్ అవసరం.,translated,
find_friends.on_doondo_section,ON DOONDO · {{n}},డూండోలో · {{n}},translated,
find_friends.on_doondo_empty,None of your contacts are on Doondo yet. Invite a friend below — you earn ₹100 when they're hired.,మీ కాంటాక్ట్‌లలో ఇంకా ఎవరూ డూండోలో లేరు. క్రింద ఒక మిత్రుడిని ఆహ్వానించండి — వారికి ఉద్యోగం వచ్చినప్పుడు మీరు ₹100 సంపాదిస్తారు.,translated,
find_friends.role_employer,Employer on Doondo,డూండోలో ఉద్యోగదాత,translated,
find_friends.role_seeker,Worker on Doondo,డూండోలో కార్మికుడు,translated,
find_friends.open_arrow,Open →,తెరువు →,translated,
find_friends.invite_section,INVITE & EARN,ఆహ్వానించండి మరియు సంపాదించండి,translated,
find_friends.invite_blurb,Share Doondo with the rest of your contacts. Earn ₹100 each time a worker you refer is hired.,మిగతా కాంటాక్ట్‌లతో డూండోను పంచుకోండి. మీరు రిఫర్ చేసిన కార్మికునికి ప్రతిసారి ఉద్యోగం వచ్చినప్పుడు ₹100 సంపాదించండి.,translated,
find_friends.invite_arrow,Invite →,ఆహ్వానించు →,translated,
find_friends.seeker_alert_body,{{name}} is already on Doondo. Worker-to-worker chat is coming soon.,{{name}} ఇప్పటికే డూండోలో ఉన్నారు. కార్మికుల మధ్య చాట్ త్వరలో వస్తోంది.,translated,
find_friends.whatsapp_text,Join me on Doondo — find work near you. {{link}},నాతో డూండోలో చేరండి — దగ్గర్లో పని కనుగొనండి. {{link}},translated,
find_friends.cohorts_a11y,My cohorts,,MISSING — needs translation,
find_friends.start_cohort_cta,Start a course cohort with your friends,,MISSING — needs translation,
employer_detail.favorite,Favourite this employer,,MISSING — needs translation,
employer_detail.favorited,Favourited ♥,,MISSING — needs translation,
employer_detail.error_title,Couldn't load employer,ఉద్యోగదాతను లోడ్ చేయలేకపోయాము,translated,
employer_detail.error_message,Check your connection and try again.,మీ కనెక్షన్‌ను తనిఖీ చేసి మళ్ళీ ప్రయత్నించండి.,translated,
employer_detail.retry,Retry,మళ్ళీ ప్రయత్నించు,translated,
employer_detail.header_title,About employer,ఉద్యోగదాత గురించి,translated,
employer_detail.no_active_eyebrow,NO ACTIVE JOBS,క్రియాశీల ఉద్యోగాలు లేవు,translated,
employer_detail.no_active_title,No openings right now,ఇప్పుడు ఉద్యోగాలు లేవు,translated,
employer_detail.no_active_message,{{name}} doesn't have any active jobs at the moment. Check back soon.,{{name}} వద్ద ప్రస్తుతం ఏ క్రియాశీల ఉద్యోగాలు లేవు. త్వరలో మళ్ళీ చూడండి.,translated,
employer_detail.verified_badge,✓ VERIFIED,✓ ధృవీకరించబడింది,translated,
employer_detail.no_ratings,No ratings yet,ఇంకా రేటింగ్‌లు లేవు,translated,
employer_detail.stat_jobs,Jobs posted,పోస్ట్ చేసిన ఉద్యోగాలు,translated,
employer_detail.stat_hires,Hires made,నియామకాలు,translated,
employer_detail.stat_member,Member,సభ్యుడు,translated,
employer_detail.section_about,ABOUT,గురించి,translated,
employer_detail.active_jobs_section,ACTIVE JOBS · {{n}},క్రియాశీల ఉద్యోగాలు · {{n}},translated,
employer_detail.older_jobs_footer_one,{{n}} older job has been filled or closed.,{{n}} పాత ఉద్యోగం నింపబడింది లేదా మూసివేయబడింది.,translated,
employer_detail.older_jobs_footer_other,{{n}} older jobs have been filled or closed.,{{n}} పాత ఉద్యోగాలు నింపబడ్డాయి లేదా మూసివేయబడ్డాయి.,translated,
mentors.title,Trade buddies,ట్రేడ్ బడ్డీస్,translated,
mentors.subtitle,Connect with experienced workers in {{trade}} near you.,దగ్గర్లోని {{trade}} అనుభవజ్ఞ కార్మికులతో కనెక్ట్ అవ్వండి.,translated,
mentors.fallback_trade,your trade,మీ పని,translated,
mentors.setup_eyebrow,SET UP FIRST,ముందుగా సెట్ చేయండి,translated,
mentors.setup_title,Add your trade and city,మీ పని మరియు నగరం జోడించండి,translated,
mentors.setup_message,"To find a mentor, add at least one skill and your city to your profile.",మెంటర్‌ను కనుగొనడానికి మీ ప్రొఫైల్‌లో కనీసం ఒక నైపుణ్యం మరియు మీ నగరం జోడించండి.,translated,
mentors.empty_eyebrow,NO MENTORS YET,ఇంకా మెంటర్‌లు లేరు,translated,
mentors.empty_title,No {{trade}} mentors in {{city}} yet,{{city}}లో ఇంకా {{trade}} మెంటర్‌లు లేరు,translated,
mentors.empty_message,Check back soon — or volunteer to be a mentor yourself.,త్వరలో మళ్ళీ చూడండి — లేదా మీరే మెంటర్‌గా అవ్వండి.,translated,
mentors.list_section,MENTORS · {{n}},మెంటర్‌లు · {{n}},translated,
mentors.mentor_meta,{{trade}} · {{city}} · {{active}}/{{cap}} mentees this month,{{trade}} · {{city}} · ఈ నెల {{active}}/{{cap}} మెంటీలు,translated,
mentors.request_arrow,Request →,అభ్యర్థన →,translated,
mentors.sent_title,Sent,పంపబడింది,translated,
mentors.sent_body,Your mentor will see your request and reach out soon.,మీ మెంటర్ మీ అభ్యర్థనను చూసి త్వరలో సంప్రదిస్తారు.,translated,
mentors.error_title,Could not send,పంపలేకపోయాము,translated,
mentors.error_default,Try again later.,తరువాత ప్రయత్నించండి.,translated,
mentors.requests_section,YOUR REQUESTS,మీ అభ్యర్థనలు,translated,
mentors.request_row_title,{{trade}} mentor · {{city}},{{trade}} మెంటర్ · {{city}},translated,
mentors.status_pending,Waiting for the mentor to respond.,మెంటర్ స్పందన కోసం ఎదురుచూస్తున్నాము.,translated,
mentors.status_accepted,Accepted — they will reach out to you.,ఆమోదించబడింది — వారు మిమ్మల్ని సంప్రదిస్తారు.,translated,
mentors.status_declined,Declined.,తిరస్కరించబడింది.,translated,
mentors.status_ended,Ended.,ముగిసింది.,translated,
mentors.book_session_cta,Book a session →,,MISSING — needs translation,
mentors.my_sessions,My sessions,,MISSING — needs translation,
mentors.modal_title,Request {{name}},{{name}}ను అభ్యర్థించండి,translated,
mentors.modal_hint,Write a short message — what would you like to learn?,ఒక చిన్న సందేశం రాయండి — మీరు ఏమి నేర్చుకోవాలనుకుంటున్నారు?,translated,
