key,english_source,current_kannada_translation,status,reviewer_notes
ratings.empty_title,No ratings yet,ಇನ್ನೂ ರೇಟಿಂಗ್‌ಗಳಿಲ್ಲ,translated,
ratings.empty_my_message,"Once an employer rates you after a hire, you'll see it here.",ಒಮ್ಮೆ ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮನ್ನು ನೇಮಕದ ನಂತರ ರೇಟ್ ಮಾಡಿದರೆ ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತದೆ.,translated,
ratings.empty_other_message,This person hasn't been rated yet.,ಈ ವ್ಯಕ್ತಿಗೆ ಇನ್ನೂ ರೇಟ್ ಮಾಡಲಾಗಿಲ್ಲ.,translated,
chat_list.title,Conversations,ಸಂಭಾಷಣೆಗಳು,translated,
chat_list.tabs.all,All,ಎಲ್ಲ,translated,
chat_list.tabs.employers,Employers,ಉದ್ಯೋಗದಾತರು,translated,
chat_list.tabs.support,Support,ಬೆಂಬಲ,translated,
chat_list.error_title,Couldn't load chats.,ಚಾಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ.,translated,
chat_list.error_hint,Pull down to retry.,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ.,translated,
chat_list.new_chat_btn,+ New Chat,+ ಹೊಸ ಚಾಟ್,translated,
chat_list.fallback_name,Conversation,ಸಂಭಾಷಣೆ,translated,
chat_list.preview_empty,Say hello.,ಹಾಯ್ ಹೇಳಿ.,translated,
chat_list.empty_support_eyebrow,SUPPORT,ಬೆಂಬಲ,translated,
chat_list.empty_support_title,No support chats yet,ಇನ್ನೂ ಬೆಂಬಲ ಚಾಟ್‌ಗಳಿಲ್ಲ,translated,
chat_list.empty_support_message,Doondo Support threads will show up here. Reach out to support anytime if you need help.,Doondo ಬೆಂಬಲ ಥ್ರೆಡ್‌ಗಳು ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತವೆ. ಸಹಾಯ ಬೇಕಿದ್ದರೆ ಯಾವಾಗ ಬೇಕಾದರೂ ಸಂಪರ್ಕಿಸಿ.,translated,
chat_list.empty_employers_eyebrow,NO EMPLOYER CHATS,ಉದ್ಯೋಗದಾತ ಚಾಟ್‌ಗಳಿಲ್ಲ,translated,
chat_list.empty_employers_title,No employer chats yet,ಇನ್ನೂ ಉದ್ಯೋಗದಾತ ಚಾಟ್‌ಗಳಿಲ್ಲ,translated,
chat_list.empty_employers_message_employer,Employer-to-employer messaging will land here when networking ships.,ಉದ್ಯೋಗದಾತ-ಉದ್ಯೋಗದಾತ ಸಂದೇಶಗಳು ನೆಟ್‌ವರ್ಕಿಂಗ್ ಬಿಡುಗಡೆ ಆದಾಗ ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತವೆ.,translated,
chat_list.empty_employers_message_seeker,"Once an employer shortlists you for a job, the chat opens here.",ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮನ್ನು ಶಾರ್ಟ್‌ಲಿಸ್ಟ್ ಮಾಡಿದ ನಂತರ ಚಾಟ್ ಇಲ್ಲಿ ತೆರೆಯುತ್ತದೆ.,translated,
chat_list.empty_all_eyebrow,INBOX EMPTY,ಇನ್‌ಬಾಕ್ಸ್ ಖಾಲಿ,translated,
chat_list.empty_all_title,No chats yet,ಇನ್ನೂ ಚಾಟ್‌ಗಳಿಲ್ಲ,translated,
chat_list.empty_all_message_employer,Shortlist a candidate from the Applicants tab — a private chat opens automatically.,Applicants ಟ್ಯಾಬ್‌ನಿಂದ ಒಬ್ಬ ಅಭ್ಯರ್ಥಿಯನ್ನು ಶಾರ್ಟ್‌ಲಿಸ್ಟ್ ಮಾಡಿ — ಖಾಸಗಿ ಚಾಟ್ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತೆರೆಯುತ್ತದೆ.,translated,
chat_list.empty_all_message_seeker,"When an employer shortlists you for a job, you can chat with them right here. Apply to nearby jobs to get started.",ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮನ್ನು ಶಾರ್ಟ್‌ಲಿಸ್ಟ್ ಮಾಡಿದರೆ ಇಲ್ಲೇ ಚಾಟ್ ಮಾಡಬಹುದು. ಪ್ರಾರಂಭಿಸಲು ಹತ್ತಿರದ ಕೆಲಸಗಳಿಗೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿ.,translated,
chat_list.time_yesterday,Yesterday,ನಿನ್ನೆ,translated,
chat_list.time_days_ago,{{n}} days ago,{{n}} ದಿನ ಮುಂಚೆ,translated,
new_chat.title,New Chat,ಹೊಸ ಚಾಟ್,translated,
new_chat.hint,Pick a job you've applied to — start the conversation with the employer.,ನೀವು ಅರ್ಜಿ ಸಲ್ಲಿಸಿದ ಕೆಲಸವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ — ಉದ್ಯೋಗದಾತರೊಂದಿಗೆ ಸಂಭಾಷಣೆ ಪ್ರಾರಂಭಿಸಿ.,translated,
new_chat.error_title,Couldn't load applications,ಅರ್ಜಿಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
new_chat.error_message,Check your connection and try again.,ನಿಮ್ಮ ಸಂಪರ್ಕ ಪರಿಶೀಲಿಸಿ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,translated,
new_chat.retry_cta,Retry,ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ,translated,
new_chat.empty_title,No applications yet,ಇನ್ನೂ ಅರ್ಜಿಗಳಿಲ್ಲ,translated,
new_chat.empty_message,"Apply to a job first, then come back to start a chat with the employer.","ಮೊದಲು ಕೆಲಸಕ್ಕೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿ, ನಂತರ ಉದ್ಯೋಗದಾತರೊಂದಿಗೆ ಚಾಟ್ ಪ್ರಾರಂಭಿಸಲು ಮತ್ತೆ ಬನ್ನಿ.",translated,
new_chat.empty_cta,Browse jobs,ಕೆಲಸಗಳನ್ನು ಬ್ರೌಸ್ ಮಾಡಿ,translated,
new_chat.fallback_employer,Employer,ಉದ್ಯೋಗದಾತ,translated,
new_chat.fallback_job_application,Job application,ಕೆಲಸದ ಅರ್ಜಿ,translated,
download_center.title,Download Center,ಡೌನ್‌ಲೋಡ್ ಕೇಂದ್ರ,translated,
download_center.hint,Jobs you've saved for offline viewing. Tap one to open it even without a signal.,ಆಫ್‌ಲೈನ್ ವೀಕ್ಷಣೆಗಾಗಿ ನೀವು ಉಳಿಸಿದ ಕೆಲಸಗಳು. ಸಿಗ್ನಲ್ ಇಲ್ಲದಿದ್ದರೂ ತೆರೆಯಲು ಒಂದನ್ನು ಟ್ಯಾಪ್ ಮಾಡಿ.,translated,
download_center.empty_eyebrow,NOTHING DOWNLOADED,ಯಾವುದನ್ನೂ ಡೌನ್‌ಲೋಡ್ ಮಾಡಿಲ್ಲ,translated,
download_center.empty_title,No offline jobs yet,ಇನ್ನೂ ಆಫ್‌ಲೈನ್ ಕೆಲಸಗಳಿಲ್ಲ,translated,
download_center.empty_message,Open any job and tap the download icon to save it for offline.,ಯಾವುದೇ ಕೆಲಸವನ್ನು ತೆರೆಯಿರಿ ಮತ್ತು ಆಫ್‌ಲೈನ್‌ಗಾಗಿ ಉಳಿಸಲು ಡೌನ್‌ಲೋಡ್ ಐಕಾನ್ ಟ್ಯಾಪ್ ಮಾಡಿ.,translated,
download_center.empty_cta,Browse jobs,ಕೆಲಸಗಳನ್ನು ಬ್ರೌಸ್ ಮಾಡಿ,translated,
download_center.remove_confirm_title,Remove from downloads?,ಡೌನ್‌ಲೋಡ್‌ಗಳಿಂದ ತೆಗೆಯಬೇಕೇ?,translated,
download_center.remove_confirm_body,"""{{title}}"" will no longer be available offline.","""{{title}}"" ಇನ್ನು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿರುವುದಿಲ್ಲ.",translated,
download_center.remove_confirm_cancel,Cancel,ರದ್ದು,translated,
download_center.remove_confirm_remove,Remove,ತೆಗೆಯಿರಿ,translated,
download_center.saved_relative_label,Saved {{when}},{{when}} ಉಳಿಸಲಾಗಿದೆ,translated,
download_center.time_just_now,just now,ಈಗ,translated,
download_center.time_min_ago,{{n}} min ago,{{n}} ನಿಮಿಷ ಮುಂಚೆ,translated,
download_center.time_hr_ago,{{n}} hr ago,{{n}} ಗಂಟೆ ಮುಂಚೆ,translated,
download_center.fallback_employer,Doondo Employer,Doondo ಉದ್ಯೋಗದಾತ,translated,
insurance.title,Worker insurance,ಕಾರ್ಮಿಕ ವಿಮೆ,translated,
insurance.subtitle,Optional accident cover for the days you work.,ನೀವು ಕೆಲಸ ಮಾಡುವ ದಿನಗಳಿಗೆ ಐಚ್ಛಿಕ ಅಪಘಾತ ರಕ್ಷಣೆ.,translated,
insurance.standard_cover_label,STANDARD COVER,ಮಾನಕ ರಕ್ಷಣೆ,translated,
insurance.price_per_month,₹{{n}} / month,₹{{n}} / ತಿಂಗಳು,translated,
insurance.bullet_death_disability,{{amount}} accidental death / disability,{{amount}} ಅಪಘಾತ ಸಾವು / ವಿಕಲಾಂಗತೆ,translated,
insurance.bullet_hospital_cash,{{amount}} / day hospital cash · up to {{days}} days / year,{{amount}} / ದಿನ ಆಸ್ಪತ್ರೆ ನಗದು · ವರ್ಷಕ್ಕೆ {{days}} ದಿನಗಳವರೆಗೆ,translated,
insurance.bullet_active_during_hires,Active during all hires made through Doondo,Doondo ಮೂಲಕ ಮಾಡಿದ ಎಲ್ಲ ನೇಮಕಾತಿಗಳ ಸಮಯದಲ್ಲಿ ಸಕ್ರಿಯ,translated,
insurance.status_pending,Pending — ops review,ಬಾಕಿ — ಆಪ್ಸ್ ಪರಿಶೀಲನೆ,translated,
insurance.status_active,Active · cover live,ಸಕ್ರಿಯ · ರಕ್ಷಣೆ ಲೈವ್,translated,
insurance.status_paused,Paused,ವಿರಾಮಗೊಂಡಿದೆ,translated,
insurance.status_cancelled,Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,translated,
insurance.opt_in_btn,Opt in for ₹49 / month,₹49 / ತಿಂಗಳಿಗೆ ಒಪ್ಪಿಕೊಳ್ಳಿ,translated,
insurance.opt_in_subscribing,Subscribing…,ಚಂದಾದಾರಿಕೆ ನಡೆಯುತ್ತಿದೆ…,translated,
insurance.opt_in_success_title,You're covered,ನೀವು ಕವರ್ ಆಗಿದ್ದೀರಿ,translated,
insurance.opt_in_success_body,Doondo's ops team will confirm your subscription within a working day.,Doondo ಆಪ್ಸ್ ತಂಡವು ಒಂದು ಕೆಲಸದ ದಿನದೊಳಗೆ ನಿಮ್ಮ ಚಂದಾದಾರಿಕೆಯನ್ನು ದೃಢೀಕರಿಸುತ್ತದೆ.,translated,
insurance.opt_in_error_title,Could not opt in,ಒಪ್ಪಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,translated,
insurance.opt_in_error_default,Try again later.,ನಂತರ ಪ್ರಯತ್ನಿಸಿ.,translated,
insurance.cancel_btn,Cancel cover,ರಕ್ಷಣೆಯನ್ನು ರದ್ದುಗೊಳಿಸಿ,translated,
insurance.cancel_confirm_title,Cancel cover?,ರಕ್ಷಣೆ ರದ್ದುಗೊಳಿಸಬೇಕೇ?,translated,
insurance.cancel_confirm_body,You'll stop being covered after this billing month.,ಈ ಬಿಲ್ಲಿಂಗ್ ತಿಂಗಳ ನಂತರ ನೀವು ಕವರ್ ಆಗುವುದನ್ನು ನಿಲ್ಲಿಸುತ್ತೀರಿ.,translated,
insurance.cancel_confirm_keep,Keep cover,ರಕ್ಷಣೆ ಇಟ್ಟುಕೊಳ್ಳಿ,translated,
insurance.cancel_confirm_cancel,Cancel cover,ರಕ್ಷಣೆ ರದ್ದುಗೊಳಿಸಿ,translated,
insurance.footer_disclaimer,"Preview only — Doondo is finalising the underwriter. Until then, ops will manually confirm your subscription. You'll never be billed without the policy being live.",ಪೂರ್ವವೀಕ್ಷಣೆ ಮಾತ್ರ — Doondo ಅಂಡರ್‌ರೈಟರ್ ಅಂತಿಮಗೊಳಿಸುತ್ತಿದೆ. ಅಲ್ಲಿಯವರೆಗೆ ಆಪ್ಸ್ ಹಸ್ತಚಾಲಿತವಾಗಿ ಚಂದಾದಾರಿಕೆ ದೃಢೀಕರಿಸುತ್ತದೆ. ಪಾಲಿಸಿ ಲೈವ್ ಆಗದೆ ನಿಮಗೆ ಎಂದಿಗೂ ಬಿಲ್ ಆಗದು.,translated,
interview_prep.title,Interview prep,ಸಂದರ್ಶನ ತಯಾರಿ,translated,
interview_prep.subtitle,"Punchy tips for your trade — what to expect, what to bring, how to talk pay.","ನಿಮ್ಮ ವೃತ್ತಿಗೆ ಪಂಚ್‌ಲೈನ್ ಸಲಹೆಗಳು — ಏನು ನಿರೀಕ್ಷಿಸಬೇಕು, ಏನು ತರಬೇಕು, ವೇತನದ ಬಗ್ಗೆ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.",translated,
interview_prep.section_questions,Questions you'll probably hear,ನೀವು ಬಹುಶಃ ಕೇಳುವ ಪ್ರಶ್ನೆಗಳು,translated,
interview_prep.section_bring,What to bring,ಏನು ತರಬೇಕು,translated,
interview_prep.section_negotiation,Talking about pay,ವೇತನದ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು,translated,
interview_prep.footer_tip,"Tip: write the agreed pay in the Doondo chat with the employer before you start. If anything changes later, the chat is your record.","ಸಲಹೆ: ಪ್ರಾರಂಭಿಸುವ ಮೊದಲು ಒಪ್ಪಿಕೊಂಡ ವೇತನವನ್ನು Doondo ಚಾಟ್‌ನಲ್ಲಿ ಉದ್ಯೋಗದಾತರೊಂದಿಗೆ ಬರೆಯಿರಿ. ನಂತರ ಏನಾದರೂ ಬದಲಾದರೆ, ಚಾಟ್ ನಿಮ್ಮ ದಾಖಲೆ.",translated,
advance.title,Cash advance,ನಗದು ಮುಂಗಡ,translated,
advance.subtitle,"Get a small advance against confirmed upcoming work. Capped at ₹5,000.","ದೃಢೀಕೃತ ಮುಂದಿನ ಕೆಲಸದ ಮೇಲೆ ಸಣ್ಣ ಮುಂಗಡ ಪಡೆಯಿರಿ. ₹5,000 ಕ್ಯಾಪ್.",translated,
advance.form_how_much,How much do you need?,ನಿಮಗೆ ಎಷ್ಟು ಬೇಕು?,translated,
advance.form_why_label,"Why do you need it? (Optional, helps us review faster)","ಏಕೆ ಬೇಕು? (ಐಚ್ಛಿಕ, ತ್ವರಿತ ಪರಿಶೀಲನೆಗೆ ಸಹಾಯಕ)",translated,
advance.form_why_placeholder,"e.g. School fees, hospital bill, family emergency","ಉದಾ. ಶಾಲಾ ಶುಲ್ಕ, ಆಸ್ಪತ್ರೆ ಬಿಲ್, ಕುಟುಂಬ ತುರ್ತು",translated,
advance.form_request_btn,Request {{amount}},{{amount}} ವಿನಂತಿಸಿ,translated,
advance.form_submitting,Submitting…,ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ…,translated,
advance.form_disclaimer,"Doondo reviews each request manually. We'll text you within a working day. There's no interest charge in this preview, but a small processing fee may apply once we partner with a lender — we'll always show it before you confirm.","Doondo ಪ್ರತಿ ವಿನಂತಿಯನ್ನು ಕೈಯಿಂದ ಪರಿಶೀಲಿಸುತ್ತದೆ. ಒಂದು ಕೆಲಸದ ದಿನದೊಳಗೆ ನಾವು ನಿಮಗೆ ಸಂದೇಶ ಕಳುಹಿಸುತ್ತೇವೆ. ಈ ಪೂರ್ವವೀಕ್ಷಣೆಯಲ್ಲಿ ಬಡ್ಡಿ ಶುಲ್ಕವಿಲ್ಲ, ಆದರೆ ನಾವು ಸಾಲದಾತರೊಂದಿಗೆ ಪಾಲುದಾರಿಕೆ ಮಾಡಿಕೊಂಡ ನಂತರ ಸಣ್ಣ ಪ್ರಕ್ರಿಯೆ ಶುಲ್ಕ ಅನ್ವಯವಾಗಬಹುದು — ನೀವು ದೃಢೀಕರಿಸುವ ಮೊದಲು ಯಾವಾಗಲೂ ತೋರಿಸುತ್ತೇವೆ.",translated,
advance.request_received_title,Request received,ವಿನಂತಿ ಸ್ವೀಕರಿಸಲಾಗಿದೆ,translated,
advance.request_received_body,We'll review your request and update you within a working day.,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ನಾವು ಪರಿಶೀಲಿಸಿ ಒಂದು ಕೆಲಸದ ದಿನದೊಳಗೆ ನವೀಕರಣ ನೀಡುತ್ತೇವೆ.,translated,
advance.could_not_submit_title,Could not submit,ಸಲ್ಲಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,translated,
advance.could_not_submit_default,Try again later.,ನಂತರ ಪ್ರಯತ್ನಿಸಿ.,translated,
advance.requests_eyebrow,YOUR REQUESTS,ನಿಮ್ಮ ವಿನಂತಿಗಳು,translated,
advance.history_empty_eyebrow,NO REQUESTS YET,ಇನ್ನೂ ವಿನಂತಿಗಳಿಲ್ಲ,translated,
advance.history_empty_title,You haven't asked for an advance,ನೀವು ಮುಂಗಡ ಕೇಳಿಲ್ಲ,translated,
advance.history_empty_message,Submit a request above. We typically respond within a working day.,ಮೇಲೆ ವಿನಂತಿ ಸಲ್ಲಿಸಿ. ನಾವು ಸಾಮಾನ್ಯವಾಗಿ ಒಂದು ಕೆಲಸದ ದಿನದೊಳಗೆ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತೇವೆ.,translated,
advance.history_update_from_doondo,Update from Doondo: {{note}},Doondo ಯಿಂದ ನವೀಕರಣ: {{note}},translated,
advance.history_cancel_request,Cancel request,ವಿನಂತಿಯನ್ನು ರದ್ದುಗೊಳಿಸಿ,translated,
advance.status_requested,Pending review,ಬಾಕಿ ಪರಿಶೀಲನೆ,translated,
advance.status_approved,Approved · awaiting payout,ಅನುಮೋದಿತ · ಪಾವತಿ ಬಾಕಿ,translated,
advance.status_paid,Paid,ಪಾವತಿಸಲಾಗಿದೆ,translated,
advance.status_repaid,Repaid,ಮರುಪಾವತಿಸಲಾಗಿದೆ,translated,
advance.status_declined,Declined,ತಿರಸ್ಕರಿಸಲಾಗಿದೆ,translated,
advance.status_cancelled,Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,translated,
conversation.fallback_name,Conversation,ಸಂಭಾಷಣೆ,translated,
conversation.verified_pill,Verified,ಪರಿಶೀಲಿತ,translated,
conversation.re_prefix,re: {{title}},ವಿಷಯ: {{title}},translated,
conversation.empty_say_hello,Say hello.,ಹಲೋ ಎಂದು ಹೇಳಿ.,translated,
conversation.empty_hint_employer,"Ask about availability, location, or set up a quick call.","ಲಭ್ಯತೆ, ಸ್ಥಳದ ಬಗ್ಗೆ ಕೇಳಿ ಅಥವಾ ಒಂದು ಸಣ್ಣ ಕರೆ ನಿಗದಿಪಡಿಸಿ.",translated,
conversation.empty_hint_seeker,"A short, friendly intro goes a long way.","ಒಂದು ಸಣ್ಣ, ಸ್ನೇಹಪರ ಪರಿಚಯ ತುಂಬಾ ಸಹಾಯ ಮಾಡುತ್ತದೆ.",translated,
conversation.composer_placeholder,Message…,ಸಂದೇಶ…,translated,
conversation.a11y_hold_to_record,Hold to record voice note,ಧ್ವನಿ ನೋಟ್ ರೆಕಾರ್ಡ್ ಮಾಡಲು ಒತ್ತಿ ಹಿಡಿಯಿರಿ,translated,
conversation.a11y_start_recording,Start recording voice note,ಧ್ವನಿ ನೋಟ್ ರೆಕಾರ್ಡಿಂಗ್ ಪ್ರಾರಂಭಿಸಿ,translated,
conversation.a11y_stop_recording,Stop and send voice note,ನಿಲ್ಲಿಸಿ ಧ್ವನಿ ನೋಟ್ ಕಳುಹಿಸಿ,translated,
conversation.attach_alert_title,Send attachment,ಲಗತ್ತು ಕಳುಹಿಸಿ,translated,
conversation.attach_alert_body,Choose what to send.,ಏನು ಕಳುಹಿಸಬೇಕೆಂದು ಆಯ್ಕೆ ಮಾಡಿ.,translated,
conversation.attach_camera,📷 Camera,📷 ಕ್ಯಾಮೆರಾ,translated,
conversation.attach_gallery,🖼  From gallery,🖼  ಗ್ಯಾಲರಿಯಿಂದ,translated,
conversation.attach_video,🎬 Video clip,🎬 ವಿಡಿಯೋ ಕ್ಲಿಪ್,translated,
conversation.attach_cancel,Cancel,ರದ್ದು,translated,
conversation.photo_error_title,Couldn't send photo,ಫೋಟೋ ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ,translated,
conversation.photo_error_default,Could not prepare that photo — try a different image.,ಆ ಫೋಟೋ ಸಿದ್ಧಪಡಿಸಲಾಗಲಿಲ್ಲ — ಬೇರೆ ಚಿತ್ರ ಪ್ರಯತ್ನಿಸಿ.,translated,
conversation.video_error_title,Couldn't send video,ವಿಡಿಯೋ ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ,translated,
conversation.video_error_default,Could not prepare that video. Try a shorter clip.,ಆ ವಿಡಿಯೋ ಸಿದ್ಧಪಡಿಸಲಾಗಲಿಲ್ಲ. ಸಣ್ಣ ಕ್ಲಿಪ್ ಪ್ರಯತ್ನಿಸಿ.,translated,
conversation.voice_record_error_title,Couldn't record,ರೆಕಾರ್ಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
conversation.voice_record_error_default,Could not start recording. Check microphone permission.,ರೆಕಾರ್ಡಿಂಗ್ ಆರಂಭಿಸಲು ಆಗಲಿಲ್ಲ. ಮೈಕ್ರೋಫೋನ್ ಅನುಮತಿ ಪರಿಶೀಲಿಸಿ.,translated,
conversation.voice_send_error_title,Couldn't send voice,ಧ್ವನಿ ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ,translated,
conversation.voice_send_error_default,Voice note failed to save.,ಧ್ವನಿ ನೋಟ್ ಉಳಿಯಲಿಲ್ಲ.,translated,
conversation.recording_status,Recording  {{elapsed}} / {{max}},ರೆಕಾರ್ಡಿಂಗ್  {{elapsed}} / {{max}},translated,
conversation.recording_cancel,Cancel,ರದ್ದು,translated,
conversation.recording_send,Send,ಕಳುಹಿಸು,translated,
conversation.preview_play_a11y,Play recorded voice note,ರೆಕಾರ್ಡ್ ಮಾಡಿದ ಧ್ವನಿ ನೋಟ್ ಪ್ಲೇ ಮಾಡಿ,translated,
conversation.preview_discard,Discard,ತೆಗೆಯಿರಿ,translated,
conversation.preview_send,Send voice note,ಧ್ವನಿ ನೋಟ್ ಕಳುಹಿಸು,translated,
conversation.receipt_read,Read,ಓದಲಾಗಿದೆ,translated,
conversation.receipt_sent,Sent,ಕಳುಹಿಸಲಾಗಿದೆ,translated,
conversation.send_failed,Failed — pull down to retry,ವಿಫಲ — ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ,translated,
conversation.photo_a11y_with_caption,Photo: {{caption}},ಫೋಟೋ: {{caption}},translated,
conversation.photo_a11y,Photo,ಫೋಟೋ,translated,
conversation.translated_label,Translated,ಅನುವಾದಿಸಲಾಗಿದೆ,translated,
conversation.translating,Translating…,ಅನುವಾದವಾಗುತ್ತಿದೆ…,translated,
conversation.translate_retry,Couldn't translate — tap to retry,ಅನುವಾದಿಸಲಾಗಲಿಲ್ಲ — ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಟ್ಯಾಪ್ ಮಾಡಿ,translated,
conversation.show_original,Show original,ಮೂಲವನ್ನು ತೋರಿಸಿ,translated,
conversation.hide_original,Hide original,ಮೂಲವನ್ನು ಮರೆಮಾಡಿ,translated,
conversation.auto_translated,Auto-translated,ಸ್ವಯಂ ಅನುವಾದಿತ,translated,
conversation.translate_toggle_a11y,Toggle translation display,ಅನುವಾದ ಪ್ರದರ್ಶನವನ್ನು ಟಾಗಲ್ ಮಾಡಿ,translated,
conversation.lang_sheet_title,Translation,,MISSING — needs translation,
conversation.lang_sheet_only_translation,Show translation only (hide original),,MISSING — needs translation,
conversation.lang_sheet_on,On,,MISSING — needs translation,
conversation.lang_sheet_off,Off,,MISSING — needs translation,
conversation.lang_sheet_hint,Read this chat in a different language. You can change it any time.,,MISSING — needs translation,
conversation.lang_default,App language (default),,MISSING — needs translation,
find_friends.title,Find friends,ಸ್ನೇಹಿತರನ್ನು ಹುಡುಕಿ,translated,
find_friends.subtitle,Match your phone contacts against Doondo. Numbers never leave your device in plaintext.,ನಿಮ್ಮ ಫೋನ್ ಕಾಂಟ್ಯಾಕ್ಟ್‌ಗಳನ್ನು ಡೂಂಡೋದೊಂದಿಗೆ ಹೊಂದಿಸಿ. ನಂಬರ್‌ಗಳು ನಿಮ್ಮ ಫೋನ್‌ನಿಂದ ಸ್ಪಷ್ಟ ಪಠ್ಯದಲ್ಲಿ ಹೊರಹೋಗುವುದಿಲ್ಲ.,translated,
find_friends.scanning,Scanning your contacts privately…,ನಿಮ್ಮ ಕಾಂಟ್ಯಾಕ್ಟ್‌ಗಳನ್ನು ಖಾಸಗಿಯಾಗಿ ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗುತ್ತಿದೆ…,translated,
find_friends.permission_eyebrow,PERMISSION,ಅನುಮತಿ,translated,
find_friends.permission_title,Contacts access not granted,ಕಾಂಟ್ಯಾಕ್ಟ್ ಅನುಮತಿ ಇಲ್ಲ,translated,
find_friends.permission_message,"To find friends already on Doondo, allow contacts access in your phone settings, then come back to this screen.","ಡೂಂಡೋದಲ್ಲಿ ಈಗಾಗಲೇ ಇರುವ ಸ್ನೇಹಿತರನ್ನು ಹುಡುಕಲು ಫೋನ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ಕಾಂಟ್ಯಾಕ್ಟ್ ಪ್ರವೇಶ ನೀಡಿ, ನಂತರ ಈ ಪರದೆಗೆ ಹಿಂತಿರುಗಿ.",translated,
find_friends.open_settings,Open settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ತೆರೆಯಿರಿ,translated,
find_friends.unsupported_eyebrow,UNAVAILABLE,ಲಭ್ಯವಿಲ್ಲ,translated,
find_friends.unsupported_title,Couldn't load contacts,ಕಾಂಟ್ಯಾಕ್ಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
find_friends.unsupported_default,Could not load contacts.,ಕಾಂಟ್ಯಾಕ್ಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ.,translated,
find_friends.unsupported_module,Contacts access needs the expo-contacts package.,ಕಾಂಟ್ಯಾಕ್ಟ್ ಪ್ರವೇಶಕ್ಕೆ expo-contacts ಪ್ಯಾಕೇಜ್ ಬೇಕು.,translated,
find_friends.on_doondo_section,ON DOONDO · {{n}},ಡೂಂಡೋ ಮೇಲೆ · {{n}},translated,
find_friends.on_doondo_empty,None of your contacts are on Doondo yet. Invite a friend below — you earn ₹100 when they're hired.,ನಿಮ್ಮ ಕಾಂಟ್ಯಾಕ್ಟ್‌ಗಳಲ್ಲಿ ಯಾರೂ ಇನ್ನೂ ಡೂಂಡೋದಲ್ಲಿ ಇಲ್ಲ. ಕೆಳಗೆ ಸ್ನೇಹಿತರನ್ನು ಆಹ್ವಾನಿಸಿ — ಅವರಿಗೆ ಕೆಲಸ ಸಿಕ್ಕಾಗ ನೀವು ₹100 ಸಂಪಾದಿಸುತ್ತೀರಿ.,translated,
find_friends.role_employer,Employer on Doondo,ಡೂಂಡೋ ಮೇಲೆ ಉದ್ಯೋಗದಾತ,translated,
find_friends.role_seeker,Worker on Doondo,ಡೂಂಡೋ ಮೇಲೆ ಕಾರ್ಮಿಕ,translated,
find_friends.open_arrow,Open →,ತೆರೆಯಿರಿ →,translated,
find_friends.invite_section,INVITE & EARN,ಆಹ್ವಾನಿಸಿ ಮತ್ತು ಗಳಿಸಿ,translated,
