key,english_source,current_tamil_translation,status,reviewer_notes
download_center.remove_confirm_body,"""{{title}}"" will no longer be available offline.","""{{title}}"" இனி ஆஃப்லைனில் கிடைக்காது.",translated,
download_center.remove_confirm_cancel,Cancel,ரத்து,translated,
download_center.remove_confirm_remove,Remove,அகற்று,translated,
download_center.saved_relative_label,Saved {{when}},{{when}} சேமிக்கப்பட்டது,translated,
download_center.time_just_now,just now,இப்போது,translated,
download_center.time_min_ago,{{n}} min ago,{{n}} நிமி முன்,translated,
download_center.time_hr_ago,{{n}} hr ago,{{n}} மணி முன்,translated,
download_center.fallback_employer,Doondo Employer,Doondo முதலாளி,translated,
insurance.title,Worker insurance,தொழிலாளர் காப்பீடு,translated,
insurance.subtitle,Optional accident cover for the days you work.,நீங்கள் வேலை செய்யும் நாட்களுக்கு விருப்ப விபத்து கவரேஜ்.,translated,
insurance.standard_cover_label,STANDARD COVER,தரநிலை கவரேஜ்,translated,
insurance.price_per_month,₹{{n}} / month,₹{{n}} / மாதம்,translated,
insurance.bullet_death_disability,{{amount}} accidental death / disability,{{amount}} விபத்து மரணம் / ஊனம்,translated,
insurance.bullet_hospital_cash,{{amount}} / day hospital cash · up to {{days}} days / year,{{amount}} / நாள் மருத்துவமனை பணம் · ஆண்டுக்கு {{days}} நாட்கள் வரை,translated,
insurance.bullet_active_during_hires,Active during all hires made through Doondo,Doondo மூலம் செய்த அனைத்து பணியமர்த்தல்களின் போது செயலில்,translated,
insurance.status_pending,Pending — ops review,நிலுவையில் — ops மதிப்பாய்வு,translated,
insurance.status_active,Active · cover live,செயலில் · கவரேஜ் நேரலை,translated,
insurance.status_paused,Paused,இடைநிறுத்தப்பட்டது,translated,
insurance.status_cancelled,Cancelled,ரத்து செய்யப்பட்டது,translated,
insurance.opt_in_btn,Opt in for ₹49 / month,₹49 / மாதம் ஆக சேர்க்கவும்,translated,
insurance.opt_in_subscribing,Subscribing…,சந்தா செலுத்தப்படுகிறது…,translated,
insurance.opt_in_success_title,You're covered,நீங்கள் கவர் ஆகிவிட்டீர்கள்,translated,
insurance.opt_in_success_body,Doondo's ops team will confirm your subscription within a working day.,Doondo-வின் ops குழு உங்கள் சந்தாவை ஒரு வேலை நாளுக்குள் உறுதி செய்யும்.,translated,
insurance.opt_in_error_title,Could not opt in,சேர முடியவில்லை,translated,
insurance.opt_in_error_default,Try again later.,பின்னர் முயற்சிக்கவும்.,translated,
insurance.cancel_btn,Cancel cover,கவரேஜை ரத்து செய்,translated,
insurance.cancel_confirm_title,Cancel cover?,கவரேஜை ரத்து செய்யவா?,translated,
insurance.cancel_confirm_body,You'll stop being covered after this billing month.,இந்த பில்லிங் மாதத்திற்குப் பிறகு நீங்கள் கவர் ஆவதை நிறுத்துவீர்கள்.,translated,
insurance.cancel_confirm_keep,Keep cover,கவரேஜை வைத்திரு,translated,
insurance.cancel_confirm_cancel,Cancel cover,கவரேஜை ரத்து செய்,translated,
insurance.footer_disclaimer,"Preview only — Doondo is finalising the underwriter. Until then, ops will manually confirm your subscription. You'll never be billed without the policy being live.","முன்னோட்டம் மட்டுமே — Doondo அண்டர்ரைட்டரை இறுதி செய்கிறது. அதுவரை, ops உங்கள் சந்தாவை கைமுறையாக உறுதி செய்யும். பாலிசி நேரலையில் இல்லாமல் உங்களுக்கு எப்போதும் பில் வராது.",translated,
interview_prep.title,Interview prep,நேர்காணல் தயாரிப்பு,translated,
interview_prep.subtitle,"Punchy tips for your trade — what to expect, what to bring, how to talk pay.","உங்கள் தொழிலுக்கான கூர்மையான குறிப்புகள் — எதிர்பார்ப்பது, கொண்டு செல்வது, ஊதியம் பற்றி பேசுவது.",translated,
interview_prep.section_questions,Questions you'll probably hear,உங்களுக்கு கேட்கப்படும் கேள்விகள்,translated,
interview_prep.section_bring,What to bring,எதைக் கொண்டு செல்ல வேண்டும்,translated,
interview_prep.section_negotiation,Talking about pay,ஊதியம் பற்றி பேசுதல்,translated,
interview_prep.footer_tip,"Tip: write the agreed pay in the Doondo chat with the employer before you start. If anything changes later, the chat is your record.",குறிப்பு: தொடங்கும் முன் முதலாளியுடன் ஒப்புக்கொண்ட ஊதியத்தை Doondo அரட்டையில் எழுதுங்கள். பின்னர் ஏதாவது மாறினால் அரட்டை உங்கள் பதிவு.,translated,
advance.title,Cash advance,பண முன்பணம்,translated,
advance.subtitle,"Get a small advance against confirmed upcoming work. Capped at ₹5,000.","உறுதி செய்யப்பட்ட எதிர்வரும் வேலைக்கு சிறிய முன்பணம் பெறுங்கள். ₹5,000 வரை.",translated,
advance.form_how_much,How much do you need?,உங்களுக்கு எவ்வளவு தேவை?,translated,
advance.form_why_label,"Why do you need it? (Optional, helps us review faster)","ஏன் தேவை? (விருப்பம், விரைவு மதிப்பாய்வுக்கு உதவும்)",translated,
advance.form_why_placeholder,"e.g. School fees, hospital bill, family emergency","எ.கா. பள்ளி கட்டணம், மருத்துவமனை பில், குடும்ப அவசரம்",translated,
advance.form_request_btn,Request {{amount}},{{amount}} கோரிக்கை,translated,
advance.form_submitting,Submitting…,சமர்ப்பிக்கப்படுகிறது…,translated,
advance.form_disclaimer,"Doondo reviews each request manually. We'll text you within a working day. There's no interest charge in this preview, but a small processing fee may apply once we partner with a lender — we'll always show it before you confirm.","Doondo ஒவ்வொரு கோரிக்கையையும் கைமுறையாக மதிப்பாய்வு செய்கிறது. ஒரு வேலை நாளுக்குள் உங்களுக்கு டெக்ஸ்ட் செய்வோம். இந்த முன்னோட்டத்தில் வட்டி இல்லை, ஆனால் நாங்கள் கடன் வழங்குபவருடன் கூட்டாளியான பிறகு சிறிய செயலாக்க கட்டணம் பொருந்தலாம் — நீங்கள் உறுதிப்படுத்தும் முன் எப்போதும் காண்பிப்போம்.",translated,
advance.request_received_title,Request received,கோரிக்கை பெறப்பட்டது,translated,
advance.request_received_body,We'll review your request and update you within a working day.,உங்கள் கோரிக்கையை மதிப்பாய்வு செய்து ஒரு வேலை நாளுக்குள் புதுப்பிப்போம்.,translated,
advance.could_not_submit_title,Could not submit,சமர்ப்பிக்க முடியவில்லை,translated,
advance.could_not_submit_default,Try again later.,பின்னர் முயற்சிக்கவும்.,translated,
advance.requests_eyebrow,YOUR REQUESTS,உங்கள் கோரிக்கைகள்,translated,
advance.history_empty_eyebrow,NO REQUESTS YET,இன்னும் கோரிக்கைகள் இல்லை,translated,
advance.history_empty_title,You haven't asked for an advance,நீங்கள் முன்பணம் கேட்கவில்லை,translated,
advance.history_empty_message,Submit a request above. We typically respond within a working day.,மேலே கோரிக்கையை சமர்ப்பிக்கவும். நாங்கள் பொதுவாக ஒரு வேலை நாளுக்குள் பதிலளிப்போம்.,translated,
advance.history_update_from_doondo,Update from Doondo: {{note}},Doondo-விலிருந்து புதுப்பிப்பு: {{note}},translated,
advance.history_cancel_request,Cancel request,கோரிக்கையை ரத்து செய்,translated,
advance.status_requested,Pending review,மதிப்பாய்வு நிலுவையில்,translated,
advance.status_approved,Approved · awaiting payout,ஒப்புதல் · பணம் செலுத்த காத்திருக்கிறது,translated,
advance.status_paid,Paid,செலுத்தப்பட்டது,translated,
advance.status_repaid,Repaid,திருப்பிச் செலுத்தப்பட்டது,translated,
advance.status_declined,Declined,நிராகரிக்கப்பட்டது,translated,
advance.status_cancelled,Cancelled,ரத்து செய்யப்பட்டது,translated,
conversation.fallback_name,Conversation,உரையாடல்,translated,
conversation.verified_pill,Verified,சரிபார்க்கப்பட்டது,translated,
conversation.re_prefix,re: {{title}},தொடர்பாக: {{title}},translated,
conversation.empty_say_hello,Say hello.,வணக்கம் சொல்லுங்கள்.,translated,
conversation.empty_hint_employer,"Ask about availability, location, or set up a quick call.","கிடைக்கும் நேரம், இடம் பற்றி கேளுங்கள் அல்லது ஒரு குறுகிய அழைப்பை நிர்ணயியுங்கள்.",translated,
conversation.empty_hint_seeker,"A short, friendly intro goes a long way.","ஒரு சிறு, நட்பான அறிமுகம் நிறைய உதவும்.",translated,
conversation.composer_placeholder,Message…,செய்தி…,translated,
conversation.a11y_hold_to_record,Hold to record voice note,குரல் குறிப்பை பதிவு செய்ய அழுத்திப் பிடிக்கவும்,translated,
conversation.a11y_start_recording,Start recording voice note,குரல் குறிப்பு பதிவை தொடங்கவும்,translated,
conversation.a11y_stop_recording,Stop and send voice note,நிறுத்தி குரல் குறிப்பை அனுப்பவும்,translated,
conversation.attach_alert_title,Send attachment,இணைப்பை அனுப்பவும்,translated,
conversation.attach_alert_body,Choose what to send.,என்ன அனுப்ப வேண்டும் என்பதைத் தேர்ந்தெடுக்கவும்.,translated,
conversation.attach_camera,📷 Camera,📷 கேமரா,translated,
conversation.attach_gallery,🖼  From gallery,🖼  கேலரியிலிருந்து,translated,
conversation.attach_video,🎬 Video clip,🎬 வீடியோ கிளிப்,translated,
conversation.attach_cancel,Cancel,ரத்து,translated,
conversation.photo_error_title,Couldn't send photo,புகைப்படம் அனுப்ப முடியவில்லை,translated,
conversation.photo_error_default,Could not prepare that photo — try a different image.,அந்த புகைப்படத்தை தயார் செய்ய முடியவில்லை — வேறு படத்தை முயற்சிக்கவும்.,translated,
conversation.video_error_title,Couldn't send video,வீடியோ அனுப்ப முடியவில்லை,translated,
conversation.video_error_default,Could not prepare that video. Try a shorter clip.,அந்த வீடியோவை தயார் செய்ய முடியவில்லை. சிறிய கிளிப்பை முயற்சிக்கவும்.,translated,
conversation.voice_record_error_title,Couldn't record,பதிவு செய்ய முடியவில்லை,translated,
conversation.voice_record_error_default,Could not start recording. Check microphone permission.,பதிவை தொடங்க முடியவில்லை. மைக்ரோபோன் அனுமதியை சரிபார்க்கவும்.,translated,
conversation.voice_send_error_title,Couldn't send voice,குரல் அனுப்ப முடியவில்லை,translated,
conversation.voice_send_error_default,Voice note failed to save.,குரல் குறிப்பு சேமிக்கப்படவில்லை.,translated,
conversation.recording_status,Recording  {{elapsed}} / {{max}},பதிவாகிறது  {{elapsed}} / {{max}},translated,
conversation.recording_cancel,Cancel,ரத்து,translated,
conversation.recording_send,Send,அனுப்பு,translated,
conversation.preview_play_a11y,Play recorded voice note,பதிவான குரல் குறிப்பை இயக்கு,translated,
conversation.preview_discard,Discard,நீக்கு,translated,
conversation.preview_send,Send voice note,குரல் குறிப்பை அனுப்பு,translated,
conversation.receipt_read,Read,படிக்கப்பட்டது,translated,
conversation.receipt_sent,Sent,அனுப்பப்பட்டது,translated,
conversation.send_failed,Failed — pull down to retry,தோல்வி — மீண்டும் முயற்சிக்க கீழே இழுக்கவும்,translated,
conversation.photo_a11y_with_caption,Photo: {{caption}},புகைப்படம்: {{caption}},translated,
conversation.photo_a11y,Photo,புகைப்படம்,translated,
conversation.translated_label,Translated,மொழிபெயர்க்கப்பட்டது,translated,
conversation.translating,Translating…,மொழிபெயர்க்கப்படுகிறது…,translated,
conversation.translate_retry,Couldn't translate — tap to retry,மொழிபெயர்க்க முடியவில்லை — மீண்டும் முயற்சிக்க தட்டவும்,translated,
conversation.show_original,Show original,மூலத்தைக் காட்டு,translated,
conversation.hide_original,Hide original,மூலத்தை மறை,translated,
conversation.auto_translated,Auto-translated,தானியங்கி மொழிபெயர்ப்பு,translated,
conversation.translate_toggle_a11y,Toggle translation display,மொழிபெயர்ப்பு காட்சியை மாற்று,translated,
conversation.lang_sheet_title,Translation,,MISSING — needs translation,
conversation.lang_sheet_only_translation,Show translation only (hide original),,MISSING — needs translation,
conversation.lang_sheet_on,On,,MISSING — needs translation,
conversation.lang_sheet_off,Off,,MISSING — needs translation,
conversation.lang_sheet_hint,Read this chat in a different language. You can change it any time.,,MISSING — needs translation,
conversation.lang_default,App language (default),,MISSING — needs translation,
find_friends.title,Find friends,நண்பர்களை தேடு,translated,
find_friends.subtitle,Match your phone contacts against Doondo. Numbers never leave your device in plaintext.,உங்கள் தொலைபேசி தொடர்புகளை டூண்டோவுடன் பொருத்தவும். எண்கள் வெளிப்படையாக உங்கள் சாதனத்திலிருந்து வெளியேற மாட்டா.,translated,
find_friends.scanning,Scanning your contacts privately…,உங்கள் தொடர்புகளை தனிமையாக ஸ்கேன் செய்கிறோம்…,translated,
find_friends.permission_eyebrow,PERMISSION,அனுமதி,translated,
find_friends.permission_title,Contacts access not granted,தொடர்பு அனுமதி வழங்கப்படவில்லை,translated,
find_friends.permission_message,"To find friends already on Doondo, allow contacts access in your phone settings, then come back to this screen.","டூண்டோவில் ஏற்கனவே உள்ள நண்பர்களை கண்டறிய, தொலைபேசி அமைப்புகளில் தொடர்பு அனுமதி கொடுத்து, மீண்டும் இந்த திரைக்கு வாருங்கள்.",translated,
find_friends.open_settings,Open settings,அமைப்புகளை திற,translated,
find_friends.unsupported_eyebrow,UNAVAILABLE,கிடைக்கவில்லை,translated,
find_friends.unsupported_title,Couldn't load contacts,தொடர்புகளை ஏற்ற முடியவில்லை,translated,
find_friends.unsupported_default,Could not load contacts.,தொடர்புகளை ஏற்ற முடியவில்லை.,translated,
find_friends.unsupported_module,Contacts access needs the expo-contacts package.,தொடர்பு அணுகலுக்கு expo-contacts தொகுப்பு தேவை.,translated,
find_friends.on_doondo_section,ON DOONDO · {{n}},டூண்டோவில் · {{n}},translated,
find_friends.on_doondo_empty,None of your contacts are on Doondo yet. Invite a friend below — you earn ₹100 when they're hired.,உங்கள் தொடர்புகளில் இன்னும் யாரும் டூண்டோவில் இல்லை. கீழே ஒரு நண்பரை அழைக்கவும் — அவர்கள் வேலைக்கு எடுக்கப்படும்போது நீங்கள் ₹100 சம்பாதிக்கிறீர்கள்.,translated,
find_friends.role_employer,Employer on Doondo,டூண்டோவில் தொழில்தந்தை,translated,
find_friends.role_seeker,Worker on Doondo,டூண்டோவில் தொழிலாளி,translated,
find_friends.open_arrow,Open →,திற →,translated,
find_friends.invite_section,INVITE & EARN,அழை மற்றும் சம்பாதி,translated,
find_friends.invite_blurb,Share Doondo with the rest of your contacts. Earn ₹100 each time a worker you refer is hired.,உங்கள் மற்ற தொடர்புகளுடன் டூண்டோவை பகிரவும். நீங்கள் பரிந்துரை செய்த தொழிலாளி வேலைக்கு எடுக்கப்படும் ஒவ்வொரு முறையும் ₹100 சம்பாதிக்கவும்.,translated,
find_friends.invite_arrow,Invite →,அழை →,translated,
find_friends.seeker_alert_body,{{name}} is already on Doondo. Worker-to-worker chat is coming soon.,{{name}} ஏற்கனவே டூண்டோவில் உள்ளார். தொழிலாளி-இடையே அரட்டை விரைவில் வரும்.,translated,
find_friends.whatsapp_text,Join me on Doondo — find work near you. {{link}},என்னுடன் டூண்டோவில் சேருங்கள் — அருகில் வேலை கண்டறியுங்கள். {{link}},translated,
find_friends.cohorts_a11y,My cohorts,,MISSING — needs translation,
find_friends.start_cohort_cta,Start a course cohort with your friends,,MISSING — needs translation,
employer_detail.favorite,Favourite this employer,,MISSING — needs translation,
employer_detail.favorited,Favourited ♥,,MISSING — needs translation,
employer_detail.error_title,Couldn't load employer,தொழில்தந்தையை ஏற்ற முடியவில்லை,translated,
employer_detail.error_message,Check your connection and try again.,உங்கள் இணைப்பை சரிபார்த்து மீண்டும் முயற்சிக்கவும்.,translated,
employer_detail.retry,Retry,மீண்டும் முயற்சி,translated,
employer_detail.header_title,About employer,தொழில்தந்தை பற்றி,translated,
employer_detail.no_active_eyebrow,NO ACTIVE JOBS,செயலில் வேலைகள் இல்லை,translated,
employer_detail.no_active_title,No openings right now,இப்போது வேலைகள் இல்லை,translated,
employer_detail.no_active_message,{{name}} doesn't have any active jobs at the moment. Check back soon.,{{name}}க்கு தற்போது செயலில் வேலைகள் எதுவும் இல்லை. சீக்கிரம் மீண்டும் பார்க்கவும்.,translated,
employer_detail.verified_badge,✓ VERIFIED,✓ சரிபார்க்கப்பட்டது,translated,
employer_detail.no_ratings,No ratings yet,இன்னும் மதிப்பீடுகள் இல்லை,translated,
employer_detail.stat_jobs,Jobs posted,இடப்பட்ட வேலைகள்,translated,
employer_detail.stat_hires,Hires made,வேலைக்கு எடுத்தவை,translated,
employer_detail.stat_member,Member,உறுப்பினர்,translated,
employer_detail.section_about,ABOUT,பற்றி,translated,
employer_detail.active_jobs_section,ACTIVE JOBS · {{n}},செயலில் வேலைகள் · {{n}},translated,
employer_detail.older_jobs_footer_one,{{n}} older job has been filled or closed.,{{n}} பழைய வேலை நிரப்பப்பட்டது அல்லது மூடப்பட்டது.,translated,
employer_detail.older_jobs_footer_other,{{n}} older jobs have been filled or closed.,{{n}} பழைய வேலைகள் நிரப்பப்பட்டன அல்லது மூடப்பட்டன.,translated,
mentors.title,Trade buddies,தொழில் நண்பர்கள்,translated,
mentors.subtitle,Connect with experienced workers in {{trade}} near you.,உங்கள் பகுதியில் {{trade}} அனுபவம் வாய்ந்த தொழிலாளிகளுடன் இணையுங்கள்.,translated,
mentors.fallback_trade,your trade,உங்கள் தொழில்,translated,
mentors.setup_eyebrow,SET UP FIRST,முதலில் அமை,translated,
mentors.setup_title,Add your trade and city,உங்கள் தொழில் மற்றும் நகரத்தை சேர்க்கவும்,translated,
mentors.setup_message,"To find a mentor, add at least one skill and your city to your profile.","ஒரு வழிகாட்டியை கண்டறிய, உங்கள் சுயவிவரத்தில் குறைந்தது ஒரு திறமை மற்றும் உங்கள் நகரத்தை சேர்க்கவும்.",translated,
mentors.empty_eyebrow,NO MENTORS YET,இன்னும் வழிகாட்டிகள் இல்லை,translated,
mentors.empty_title,No {{trade}} mentors in {{city}} yet,{{city}}யில் இன்னும் {{trade}} வழிகாட்டிகள் இல்லை,translated,
mentors.empty_message,Check back soon — or volunteer to be a mentor yourself.,சீக்கிரம் மீண்டும் பார்க்கவும் — அல்லது நீங்களே வழிகாட்டியாக ஆகவும்.,translated,
mentors.list_section,MENTORS · {{n}},வழிகாட்டிகள் · {{n}},translated,
mentors.mentor_meta,{{trade}} · {{city}} · {{active}}/{{cap}} mentees this month,{{trade}} · {{city}} · இந்த மாதம் {{active}}/{{cap}} கற்பவர்கள்,translated,
mentors.request_arrow,Request →,கோரிக்கை →,translated,
mentors.sent_title,Sent,அனுப்பப்பட்டது,translated,
mentors.sent_body,Your mentor will see your request and reach out soon.,உங்கள் வழிகாட்டி உங்கள் கோரிக்கையை பார்த்து விரைவில் தொடர்பு கொள்வார்.,translated,
mentors.error_title,Could not send,அனுப்ப முடியவில்லை,translated,
mentors.error_default,Try again later.,பின்னர் முயற்சிக்கவும்.,translated,
mentors.requests_section,YOUR REQUESTS,உங்கள் கோரிக்கைகள்,translated,
mentors.request_row_title,{{trade}} mentor · {{city}},{{trade}} வழிகாட்டி · {{city}},translated,
mentors.status_pending,Waiting for the mentor to respond.,வழிகாட்டியின் பதிலுக்காக காத்திருக்கிறோம்.,translated,
mentors.status_accepted,Accepted — they will reach out to you.,ஏற்றுக்கொள்ளப்பட்டது — அவர்கள் உங்களை தொடர்பு கொள்வார்கள்.,translated,
mentors.status_declined,Declined.,நிராகரிக்கப்பட்டது.,translated,
mentors.status_ended,Ended.,முடிந்தது.,translated,
mentors.book_session_cta,Book a session →,,MISSING — needs translation,
mentors.my_sessions,My sessions,,MISSING — needs translation,
mentors.modal_title,Request {{name}},{{name}}ஐ கோரு,translated,
mentors.modal_hint,Write a short message — what would you like to learn?,ஒரு குறுகிய செய்தி எழுதவும் — நீங்கள் என்ன கற்றுக்கொள்ள விரும்புகிறீர்கள்?,translated,
mentors.modal_placeholder,I'd love to learn how you handle…,நீங்கள் எப்படி கையாள்கிறீர்கள் என்பதை கற்றுக்கொள்ள விரும்புகிறேன்…,translated,
mentors.modal_cancel,Cancel,ரத்து,translated,
mentors.modal_sending,Sending…,அனுப்புகிறது…,translated,
mentors.modal_send,Send request,கோரிக்கை அனுப்பு,translated,
mentors.become_title,Become a mentor,வழிகாட்டியாக ஆகுங்கள்,translated,
mentors.become_blurb,Help newer {{trade}}s in {{city}} get started. Set a short bio — workers will request you from this same screen. You can stop anytime.,{{city}}யில் புதிய {{trade}} தொழிலாளர்கள் தொடங்க உதவவும். குறுகிய சுயவிவரம் அமைக்கவும் — தொழிலாளர்கள் இதே திரையில் இருந்து உங்களை கோருவார்கள். நீங்கள் எப்போது வேண்டுமானாலும் நிறுத்தலாம்.,translated,
mentors.become_placeholder,I've been a driver for 7 years and can help with…,"நான் 7 ஆண்டுகளாக ஓட்டுநராக இருக்கிறேன், இதில் உதவ முடியும்…",translated,
mentors.become_success_title,You're a mentor,நீங்கள் வழிகாட்டி,translated,
mentors.become_success_body,Workers in your trade can now request mentorship.,உங்கள் தொழிலில் உள்ள தொழிலாளர்கள் இப்போது உங்களிடம் வழிகாட்டுதலை கோரலாம்.,translated,
mentors.become_error_title,Could not enable,இயக்க முடியவில்லை,translated,
mentors.become_saving,Saving…,சேமிக்கிறது…,translated,
mentors.become_cta,Make me a mentor,என்னை வழிகாட்டியாக்கு,translated,
mentor_sessions.title,My sessions,,MISSING — needs translation,
mentor_sessions.booked_section,Booked sessions,,MISSING — needs translation,
mentor_sessions.booked_empty,No sessions booked yet.,,MISSING — needs translation,
mentor_sessions.mentor_section,As a mentor,,MISSING — needs translation,
mentor_sessions.mentor_hint,Open a time slot — mentees you've accepted can book it.,,MISSING — needs translation,
mentor_sessions.status_open,Open — not booked yet,,MISSING — needs translation,
mentor_sessions.date_label,Date,,MISSING — needs translation,
mentor_sessions.time_label,Time,,MISSING — needs translation,
mentor_sessions.mode_label,Mode,,MISSING — needs translation,
mentor_sessions.today,Today,,MISSING — needs translation,
mentor_sessions.tomorrow,Tomorrow,,MISSING — needs translation,
mentor_sessions.in_2_days,In 2 days,,MISSING — needs translation,
mentor_sessions.in_3_days,In 3 days,,MISSING — needs translation,
mentor_sessions.in_1_week,In 1 week,,MISSING — needs translation,
mentor_sessions.mode_video,Video,,MISSING — needs translation,
mentor_sessions.mode_phone,Phone,,MISSING — needs translation,
mentor_sessions.mode_in_person,In person,,MISSING — needs translation,
mentor_sessions.duration,{{minutes}} min,,MISSING — needs translation,
mentor_sessions.add_slot_cta,Add a time slot,,MISSING — needs translation,
mentor_sessions.adding,Adding…,,MISSING — needs translation,
mentor_sessions.cancel_cta,Cancel,,MISSING — needs translation,
mentor_sessions.cancelling,Cancelling…,,MISSING — needs translation,
mentor_sessions.error_title,Something went wrong,,MISSING — needs translation,
mentor_sessions.error_default,Try again in a moment.,,MISSING — needs translation,
book_mentor_session.title,Book a session,,MISSING — needs translation,
book_mentor_session.empty,No open slots right now — check back soon.,,MISSING — needs translation,
book_mentor_session.duration,{{minutes}} min,,MISSING — needs translation,
book_mentor_session.mode_video,Video,,MISSING — needs translation,
book_mentor_session.mode_phone,Phone,,MISSING — needs translation,
book_mentor_session.mode_in_person,In person,,MISSING — needs translation,
book_mentor_session.book_cta,Book,,MISSING — needs translation,
book_mentor_session.booking,Booking…,,MISSING — needs translation,
book_mentor_session.booked_title,Session booked,,MISSING — needs translation,
book_mentor_session.booked_body,Your mentor has been notified.,,MISSING — needs translation,
book_mentor_session.error_title,Could not book,,MISSING — needs translation,
book_mentor_session.error_default,Try again in a moment.,,MISSING — needs translation,
book_mentor_session.retry,Try again,,MISSING — needs translation,
cohorts.title,My cohorts,,MISSING — needs translation,
cohorts.new_a11y,Start a new cohort,,MISSING — needs translation,
cohorts.invites_section,PENDING INVITES,,MISSING — needs translation,
cohorts.invite_body,Join to study {{course}} together.,,MISSING — needs translation,
cohorts.accept_cta,Join,,MISSING — needs translation,
cohorts.decline_cta,Decline,,MISSING — needs translation,
cohorts.joined_section,MY COHORTS,,MISSING — needs translation,
cohorts.empty_title,No cohorts yet,,MISSING — needs translation,
cohorts.empty_message,Start one from Find Friends — pick a course and up to 4 friends.,,MISSING — needs translation,
cohorts.error_title,Something went wrong,,MISSING — needs translation,
cohorts.error_default,Try again in a moment.,,MISSING — needs translation,
start_cohort.title,Start a cohort,,MISSING — needs translation,
start_cohort.course_section,COURSE,,MISSING — needs translation,
start_cohort.no_courses_title,Enroll in a course first,,MISSING — needs translation,
start_cohort.no_courses_message,Cohorts are built around a course you're taking together.,,MISSING — needs translation,
start_cohort.friends_section,FRIENDS · {{n}}/{{max}},,MISSING — needs translation,
start_cohort.no_friends_title,No friends selected,,MISSING — needs translation,
start_cohort.no_friends_message,Go back to Find Friends and pick contacts already on Doondo.,,MISSING — needs translation,
start_cohort.creating,Creating…,,MISSING — needs translation,
start_cohort.create_cta,Start cohort,,MISSING — needs translation,
start_cohort.error_title,Could not create cohort,,MISSING — needs translation,
start_cohort.error_default,Try again in a moment.,,MISSING — needs translation,
start_cohort.error_no_course,Pick a course first.,,MISSING — needs translation,
cohort_chat.fallback_name,Cohort,,MISSING — needs translation,
cohort_chat.members_line,{{n}} members · {{course}},,MISSING — needs translation,
cohort_chat.composer_placeholder,Message the cohort…,,MISSING — needs translation,
cohort_chat.photo_error_title,Couldn't send photo,,MISSING — needs translation,
cohort_chat.error_title,Something went wrong,,MISSING — needs translation,
cohort_chat.error_default,Try again in a moment.,,MISSING — needs translation,
report_wage_issue.title,Report a wage issue,,MISSING — needs translation,
report_wage_issue.anonymous_title,This is anonymous,,MISSING — needs translation,
report_wage_issue.anonymous_body,"The employer never sees your report. Only an aggregate is shown, and only once several workers report the same job.",,MISSING — needs translation,
report_wage_issue.reason_section,WHAT HAPPENED,,MISSING — needs translation,
report_wage_issue.reason_below_promised_wage,Paid less than promised,,MISSING — needs translation,
report_wage_issue.reason_late_payment,Paid late,,MISSING — needs translation,
report_wage_issue.reason_unpaid_overtime,Unpaid overtime,,MISSING — needs translation,
report_wage_issue.reason_wage_theft,Not paid at all,,MISSING — needs translation,
report_wage_issue.reason_other,Other,,MISSING — needs translation,
report_wage_issue.wage_details_section,Add wage details (optional),,MISSING — needs translation,
report_wage_issue.promised_label,Promised,,MISSING — needs translation,
report_wage_issue.actual_label,Actually paid,,MISSING — needs translation,
report_wage_issue.period_hour,per hour,,MISSING — needs translation,
report_wage_issue.period_day,per day,,MISSING — needs translation,
report_wage_issue.period_week,per week,,MISSING — needs translation,
report_wage_issue.period_month,per month,,MISSING — needs translation,
report_wage_issue.period_fixed,fixed,,MISSING — needs translation,
report_wage_issue.note_section,NOTES (OPTIONAL),,MISSING — needs translation,
report_wage_issue.note_placeholder,Anything else useful to know…,,MISSING — needs translation,
report_wage_issue.sending,Sending…,,MISSING — needs translation,
report_wage_issue.submit_cta,Submit report,,MISSING — needs translation,
report_wage_issue.sent_title,Report received,,MISSING — needs translation,
report_wage_issue.sent_body,Thank you — this helps other workers stay informed.,,MISSING — needs translation,
report_wage_issue.done,Done,,MISSING — needs translation,
report_wage_issue.error_title,Could not submit,,MISSING — needs translation,
report_wage_issue.error_default,Try again in a moment.,,MISSING — needs translation,
resume_builder.header_title,Resume builder,சுயவிவரம் பில்டர்,translated,
resume_builder.header_preview,Preview,முன்னோட்டம்,translated,
resume_builder.progress_intro,Intro,அறிமுகம்,translated,
resume_builder.progress_review,Review,மதிப்பாய்வு,translated,
resume_builder.couldnt_save_title,Couldn't save resume,சுயவிவரத்தைச் சேமிக்க முடியவில்லை,translated,
resume_builder.try_again_in_a_minute,Try again in a minute.,ஒரு நிமிடத்தில் மீண்டும் முயற்சிக்கவும்.,translated,
resume_builder.couldnt_add_photo_title,Couldn't add photo,புகைப்படத்தைச் சேர்க்க முடியவில்லை,translated,
resume_builder.try_smaller_image,Try a smaller image.,சிறிய படத்தை முயற்சிக்கவும்.,translated,
resume_builder.remove_photo_title,Remove this photo?,இந்த புகைப்படத்தை அகற்றவா?,translated,
resume_builder.remove_photo_body,It won't show on your resume anymore.,இது உங்கள் சுயவிவரத்தில் இனி காண்பிக்கப்படாது.,translated,
resume_builder.cancel,Cancel,ரத்து,translated,
resume_builder.remove,Remove,அகற்று,translated,
resume_builder.couldnt_continue_title,Couldn't continue,தொடர முடியவில்லை,translated,
